Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude,Street,Ward,District,distance_to_beach,distance_to_center,distance_to_airport,log_prices,log_area,log_floors,log_width,log_length,log_distance_to_beach,log_distance_to_center
6.8,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3,16.0009105,108.2130994, Văn Tiến Dũng,Hòa Xuân,cẩm lệ,7.982278306406917,6.503671979037734,6.3301303601758665,1.916922612182061,4.605170185988092,1.0986122886681098,1.6094379124341003,2.995732273553991,2.0772238727697654,1.8723669372464007
4.75,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,24.0,3,16.0093672,108.2225957, Phạm Xuân Ẩn,Hòa Xuân,cẩm lệ,6.699318911934934,5.688098180830738,5.708483162565261,1.55814461804655,4.787491742782046,1.0986122886681098,1.6094379124341003,3.1780538303479458,1.9020058662946226,1.7383759533981613
6.4,95.0,Không,Nhà mặt tiền,Không có,5.0,19.0,3,15.9975739,108.2002439, Nguyễn Hồng Ánh,Xã Hòa Châu,hòa vang,9.006565799174593,6.978455406345205,6.605174206546393,1.8562979903656263,4.553876891600541,1.0986122886681098,1.6094379124341003,2.9444389791664403,2.1979538445978184,1.942827603797145
2.75,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15.0,2,16.0698397,108.2115701, Lê Duẩn,Tân Chính,thanh khê,3.88841536044275,1.1258653402444132,1.690805522306393,1.0116009116784799,4.0943445622221,0.6931471805599453,1.5040773967762742,2.70805020110221,1.3580017122817223,0.11855193130871218
2.6,100.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,20.0,2,16.0554848,108.1553766, Hoàng Văn Thái,Hòa Khánh Nam,liên chiểu,9.917383246685455,6.03832112693159,5.063737357990122,0.9555114450274363,4.605170185988092,0.6931471805599453,1.6094379124341003,2.995732273553991,2.2942891008828505,1.7981260141916418
3.8,50.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,12.0,3,16.0672041,108.2443275, Hà Bổng,Phước Mỹ,sơn trà,0.4293659485725036,3.5955084989864625,4.592833762470426,1.33500106673234,3.912023005428146,1.0986122886681098,1.5040773967762742,2.4849066497880004,-0.8454456966993269,1.2796854273419214
3.35,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,17.5,3,16.0604801,108.165628, Ngô Chân Lưu,Hòa Minh,liên chiểu,8.779160289577735,4.924395671938321,3.979524815425038,1.208960345836975,4.248495242049359,1.0986122886681098,1.3862943611198906,2.8622008809294686,2.1723807640730666,1.5942015608896127
2.55,80.0,Không,Nhà trong hẻm,Không có,5.0,16.0,2,16.0723048,108.1472133, Đồng Kè,Hòa Khánh Bắc,liên chiểu,10.766967754382824,7.034231089625177,6.163786505545406,0.9360933591703348,4.382026634673881,0.6931471805599453,1.6094379124341003,2.772588722239781,2.3764829059728516,1.9507883867428968
1.75,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,16.0,1,16.041122,108.184901, Trường Chinh,Hòa Phát,cẩm lệ,7.201188503435208,3.5211905308176226,2.6049738435175485,0.5596157879354227,4.248495242049359,0.0,1.5040773967762742,2.772588722239781,1.974246082321026,1.2587991514091381
3.69,85.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,16.0,3,16.0583615,108.1683251, Tô Hiệu,Hòa Minh,liên chiểu,8.507768670810812,4.637246247012794,3.676714756835964,1.3056264580524357,4.442651256490317,1.0986122886681098,1.6094379124341003,2.772588722239781,2.1409797073598384,1.5341207088112163
5.95,13.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.8,23.0,3,16.044107,108.2060114, Trưng Nữ Vương,Hòa Thuận Tây,hải châu,5.004469849198954,1.824090898313722,1.494315801070678,1.7833912195575383,2.5649493574615367,1.0986122886681098,1.7578579175523736,3.1354942159291497,1.6103314829208426,0.6010817250122584
6.0,150.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,25.0,3,16.044107,108.2060114, Trưng Nữ Vương,Hòa Thuận Tây,hải châu,5.004469849198954,1.824090898313722,1.494315801070678,1.791759469228055,5.0106352940962555,1.0986122886681098,1.791759469228055,3.2188758248682006,1.6103314829208426,0.6010817250122584
2.8,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,12.0,1,16.0929062,108.2484832, Võ Duy Ninh,Thọ Quang,sơn trà,3.101851419860263,5.3914983589475565,6.295157134681375,1.0296194171811581,4.248495242049359,0.0,1.791759469228055,2.4849066497880004,1.1319991654319068,1.68482333496223
2.55,65.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15.0,2,16.0674661,108.1932536, Thái Thị Bôi,Chính Gián,thanh khê,5.816508032438447,2.148548751079927,1.5167105211395546,0.9360933591703348,4.174387269895637,0.6931471805599453,1.5040773967762742,2.70805020110221,1.7607000872482765,0.7647926147271348
3.2,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,13.0,2,16.0718385,108.1883741, Trần Cao Vân,Xuân Hà,thanh khê,6.378068160242131,2.830663747943176,2.226242239621569,1.1631508098056809,4.248495242049359,0.6931471805599453,1.6094379124341003,2.5649493574615367,1.85286525530438,1.0405112240642111
2.15,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15.0,2,16.0415679,108.1813377, Tôn Đản,Hòa An,cẩm lệ,7.540386123959919,3.81132784558817,2.864890139485825,0.7654678421395714,4.0943445622221,0.6931471805599453,1.5040773967762742,2.70805020110221,2.0202733907829336,1.3379776443234563
3.65,80.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,18.0,1,16.044107,108.2060114, Trưng Nữ Vương,Hòa Thuận Tây,hải châu,5.004469849198954,1.824090898313722,1.494315801070678,1.2947271675944,4.382026634673881,0.0,1.5040773967762742,2.8903717578961645,1.6103314829208426,0.6010817250122584
1.65,55.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,14.0,1,16.0595231,108.179155, Trường Chinh,Hòa An,cẩm lệ,7.342261974734708,3.4761945440084063,2.528594798354249,0.5007752879124892,4.007333185232471,0.0,1.5040773967762742,2.6390573296152584,1.993646966096295,1.2459381736184825
2.7,120.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,24.0,2,16.0912421,108.2445524, Ngô Quyền,Thọ Quang,sơn trà,2.933658679472832,4.9607252355791065,5.8533697970942535,0.9932517730102834,4.787491742782046,0.6931471805599453,1.6094379124341003,3.1780538303479458,1.0762503401222558,1.6015519468988206
3.15,100.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,22.0,2,16.0723048,108.1472133, Đồng Kè,Hòa Khánh Bắc,liên chiểu,10.766967754382824,7.034231089625177,6.163786505545406,1.1474024528375417,4.605170185988092,0.6931471805599453,1.5040773967762742,3.091042453358316,2.3764829059728516,1.9507883867428968
1.85,120.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,24.0,1,16.0031472,108.1876854, Nguyễn Như Đỗ,Hòa Thọ Tây,cẩm lệ,9.366062087864112,6.759358797217937,6.194398151067429,0.6151856390902335,4.787491742782046,0.0,1.6094379124341003,3.1780538303479458,2.23709273980879,1.9109280330735379
3.69,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,16.0,2,16.0583615,108.1683251, Tô Hiệu,Hòa Minh,liên chiểu,8.507768670810812,4.637246247012794,3.676714756835964,1.3056264580524357,4.248495242049359,0.6931471805599453,1.5040773967762742,2.772588722239781,2.1409797073598384,1.5341207088112163
3.65,90.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,18.0,3,16.0392505,108.1852671, Tôn Đản,Hòa Phát,cẩm lệ,7.243350763046908,3.6151117691300856,2.723808498087963,1.2947271675944,4.499809670330265,1.0986122886681098,1.6094379124341003,2.8903717578961645,1.9800839119084575,1.2851227732877055
2.83,110.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,22.0,2,16.0756243,108.2319079, Ngô Quyền,An Hải Bắc,sơn trà,2.0522137939375127,2.796568797472516,3.733505998421484,1.0402767116551463,4.700480365792417,0.6931471805599453,1.6094379124341003,3.091042453358316,0.718919109960032,1.0283932362543946
1.49,36.0,Tây,Nhà trong hẻm,Giấy tờ hợp lệ,4.1,8.78048780487805,2,16.0751042,108.2073603, Trần Cao Vân,Tam Thuận,thanh khê,4.446100836465397,1.7687584978483872,2.042094465794425,0.3987761199573678,3.58351893845611,0.6931471805599453,1.410986973710262,2.172531964745848,1.4920274955514325,0.5702778868351202
5.35,125.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,2,16.0138538,108.1958513, Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,7.905836607919737,5.343723328342092,4.853666284353989,1.6770965609079151,4.8283137373023015,0.6931471805599453,1.6094379124341003,3.2188758248682006,2.0676012978154645,1.6759226625030326
3.9,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,16.0003372,108.2132929, Lỗ Giáng 6,Hòa Xuân,cẩm lệ,8.029127266028906,6.567619091972675,6.3962359635519785,1.3609765531356006,4.605170185988092,0.6931471805599453,1.6094379124341003,2.995732273553991,2.083075837871408,1.88215137594534
6.35,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,20.0,3,16.0172054,108.2084021, Phan Văn Trị,Khuê Trung,cẩm lệ,6.737453259158979,4.711399097584559,4.470048515679327,1.8484548129046001,4.700480365792417,1.0986122886681098,1.7047480922384253,2.995732273553991,1.9076819987949445,1.5499849122376488
5.8,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,16.0140539,108.2065002, Đặng Văn Ngữ,Khuê Trung,cẩm lệ,7.137386580316552,5.077269085625017,4.794029631415255,1.7578579175523736,4.605170185988092,0.6931471805599453,1.6094379124341003,2.995732273553991,1.9653466841821825,1.624773535471733
8.5,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,4,16.025345,108.2121536, Bình Hòa 4,Khuê Trung,cẩm lệ,5.787561027724534,3.798302738258644,3.6702146649684217,2.1400661634962708,4.605170185988092,1.3862943611198906,1.6094379124341003,2.995732273553991,1.7557109641039768,1.3345543191288158
6.0,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,1,16.0063777,108.2078822, Phạm Hùng,Hòa Xuân,cẩm lệ,7.742359078689389,5.910516326332974,5.653504684737835,1.791759469228055,4.700480365792417,0.0,1.6094379124341003,3.091042453358316,2.0467064316907835,1.776733192463675
4.15,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,16.0,3,16.0221996,108.2129834, Bình Hòa 14,Khuê Trung,cẩm lệ,5.999896146427057,4.148459751680958,4.0292800065276175,1.423108334242607,4.382026634673881,1.0986122886681098,1.6094379124341003,2.772588722239781,1.7917421601494299,1.422737121178299
4.9,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,16.0214579,108.1974153, Nguyễn Khoa Chiêm,Hòa Thọ Đông,cẩm lệ,7.202834201160636,4.493786762439407,3.996799432333303,1.589235205116581,4.605170185988092,1.0986122886681098,1.6094379124341003,2.995732273553991,1.9744745876165728,1.5026957232469493
7.5,75.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.7,13.0,2,16.0241244,108.2171347, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,5.562607019073472,3.976662923297844,3.9759391368219577,2.0149030205422647,4.31748811353631,0.6931471805599453,1.7404661748405046,2.5649493574615367,1.7160668866912792,1.3804430061079553
5.0,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,24.0,3,16.0198819,108.1968795, Hoàng Đạo Thúy,Hòa Thọ Đông,cẩm lệ,7.362495333947553,4.67730194197463,4.177651059850487,1.6094379124341003,4.787491742782046,1.0986122886681098,1.6094379124341003,3.1780538303479458,1.9963989152182586,1.5427214355597698
4.8,67.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,11.07,6.91,4,16.0227751,108.200433, Trường Chinh,Hòa Thọ Đông,cẩm lệ,6.865870059732111,4.254857679806927,3.818833798247972,1.5686159179138452,4.204692619390966,1.3862943611198906,2.4042387467205457,1.9329696377795786,1.9265627696790373,1.448061313711995
18.8,170.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,34.0,4,16.0524115,108.2090289, Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,4.346895782169306,0.8500454561579067,0.8639978075900642,2.9338568698359038,5.135798437050262,1.3862943611198906,1.6094379124341003,3.5263605246161616,1.4694619770630142,-0.1624654530948318
4.4,95.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.0,3,16.0212756,108.2004817, Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,6.975815789478457,4.412896672312063,3.984146342579829,1.4816045409242156,4.553876891600541,1.0986122886681098,1.6094379124341003,2.9444389791664403,1.9424492799332629,1.4845313156267184
3.9,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,3,16.0212756,108.2004817, Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,6.975815789478457,4.412896672312063,3.984146342579829,1.3609765531356006,4.499809670330265,1.0986122886681098,1.6094379124341003,2.8903717578961645,1.9424492799332629,1.4845313156267184
