price,area,road_width,floors,bedroom,loc,garage
": 6,15 tỷ","74 m
2",5m,4 lầu,4 phòng ngủ,"Đường Phan Huy Ôn, Phường Hòa Cường, Quận Hải Châu,",chỗ để xe
: 19 tỷ,"100 m
2",105m,1 lầu,1 phòng ngủ,"Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
": 5,5 tỷ","56 m
2",4m,2 lầu,3 phòng ngủ,"Đường Phan Huy Ôn, Phường Hòa Cường, Quận Hải Châu,",chỗ để xe
": 6,8 tỷ","100 m
2",10m,3 lầu,4 phòng ngủ,"Đường Lương Định Của, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",chỗ để xe
: 36 tỷ,"152 m
2",10m,8 lầu,15 phòng ngủ,"Đường An Thượng 3, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 7,95 tỷ","95 m
2",7m,3 lầu,3 phòng ngủ,"Đường Lê Phụng Hiểu, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 1,7 tỷ","52 m
2","2,5m",1 lầu,2 phòng ngủ,"Đường Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
": 2,65 tỷ","45 m
2",3m,2 lầu,2 phòng ngủ,"Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê,",chỗ để xe
": 6,2 tỷ","100 m
2",7m,1 lầu,1 phòng ngủ,"Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 5,3 tỷ","100 m
2",6m,2 lầu,3 phòng ngủ,"Đường Mỹ An 24, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 7,65 tỷ","85 m
2",6m,3 lầu,3 phòng ngủ,"Đường Nguyễn Văn Thoại, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
": 2,5 tỷ","123 m
2",5m,2 lầu,3 phòng ngủ,"Đường Nguyễn Duy Trinh, Phường Hòa Hải, Quận Ngũ Hành Sơn,",chỗ để xe
": 1,69 tỷ","21 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Hải Châu II, Quận Hải Châu,",chỗ để xe
": 5,5 tỷ","55 m
2",5m,3 lầu,3 phòng ngủ,"Đường An Thượng 12, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 4,2 tỷ","82 m
2",7m,2 lầu,3 phòng ngủ,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,",chỗ để xe
": 2,4 tỷ","47 m
2","3,5m",1 lầu,2 phòng ngủ,"Đường Trương Chí Cương, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 2,25 tỷ","85 m
2","3,5m",2 lầu,2 phòng ngủ,"Phường Hòa Hải, Quận Ngũ Hành Sơn,",chỗ để xe
": 2,38 tỷ","36 m
2",3m,3 lầu,3 phòng ngủ,"Đường Cô Bắc, Phường Hải Châu II, Quận Hải Châu,",chỗ để xe
": 5,5 tỷ","125 m
2","7,5m",4 lầu,4 phòng ngủ,"Đường Nguyễn Đình Chiểu, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",chỗ để xe
": 12,7 tỷ","89 m
2",7m,3 lầu,2 phòng ngủ,"Đường Dương Đình Nghệ, Phường An Hải Bắc, Quận Sơn Trà,",0
": 2,5 tỷ","123 m
2",5m,2 lầu,3 phòng ngủ,"Đường Nguyễn Duy Trinh, Phường Hòa Hải, Quận Ngũ Hành Sơn,",chỗ để xe
": 1,69 tỷ","21 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Hải Châu II, Quận Hải Châu,",chỗ để xe
": 6,2 tỷ","100 m
2",7m,1 lầu,1 phòng ngủ,"Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 5,5 tỷ","125 m
2","7,5m",4 lầu,4 phòng ngủ,"Đường Nguyễn Đình Chiểu, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",chỗ để xe
": 12,7 tỷ","89 m
2",7m,3 lầu,2 phòng ngủ,"Đường Dương Đình Nghệ, Phường An Hải Bắc, Quận Sơn Trà,",0
": 4,9 tỷ","57 m
2",4m,1 lầu,3 phòng ngủ,"Đường An Thượng 18, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
: 9 tỷ,"70 m
2",10m,5 lầu,7 phòng ngủ,"Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà,",0
": 7,6 tỷ","73 m
2",10m,2 lầu,3 phòng ngủ,"Đường Nguyễn Hoàng, Phường Bình Hiên, Quận Hải Châu,",0
: 5 tỷ,"60 m
2",5m,1 lầu,3 phòng ngủ,"Đường An Thượng 18, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 5,2 tỷ","30 m
2",10m,4 lầu,1 phòng ngủ,"Đường Phan Châu Trinh, Phường Bình Hiên, Quận Hải Châu,",chỗ để xe
": 10,8 tỷ","105 m
2",10m,1 lầu,1 phòng ngủ,"Đường Ngô Tất Tố, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 5,35 tỷ","65 m
2",375m,3 lầu,3 phòng ngủ,"Đường Tiên Sơn 6, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 6,3 tỷ","86 m
2",33m,4 lầu,4 phòng ngủ,"Đường Trường Chinh, Phường An Khê, Quận Thanh Khê,",chỗ để xe
": 3,6 tỷ","55 m
2",5m,2 lầu,5 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,",chỗ để xe
": 6,99 tỷ","180 m
2","3,5m",3 lầu,13 phòng ngủ,"Đường Hoàng Thúc Trâm, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 3,2 tỷ","100 m
2","4,5m",1 lầu,4 phòng ngủ,"Đường Trần Xuân Lê, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
": 4,39 tỷ","65 m
2",3m,3 lầu,4 phòng ngủ,"Đường Hoàng Diệu, Phường Hải Châu I, Quận Hải Châu,",chỗ để xe
": 8,2 tỷ","118 m
2",30m,4 lầu,12 phòng ngủ,"Đường Võ Chí Công, Phường Hòa Quý, Quận Ngũ Hành Sơn,",chỗ để xe
": 2,79 tỷ","114 m
2",3m,1 lầu,2 phòng ngủ,"Đường Mẹ Nhu, Phường Thanh Khê Tây, Quận Thanh Khê,",chỗ để xe
": 1,99 tỷ","49 m
2",3m,1 lầu,1 phòng ngủ,"Đường Lý Thái Tổ, Phường Chính Gián, Quận Thanh Khê,",0
": 7,95 tỷ","95 m
2",7m,3 lầu,3 phòng ngủ,"Đường Lê Phụng Hiểu, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 4,2 tỷ","82 m
2",7m,2 lầu,3 phòng ngủ,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,",chỗ để xe
": 2,65 tỷ","45 m
2",3m,2 lầu,2 phòng ngủ,"Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê,",chỗ để xe
": 1,7 tỷ","52 m
2","2,5m",1 lầu,2 phòng ngủ,"Đường Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
": 2,5 tỷ","123 m
2",5m,2 lầu,3 phòng ngủ,"Đường Nguyễn Duy Trinh, Phường Hòa Hải, Quận Ngũ Hành Sơn,",chỗ để xe
": 7,65 tỷ","85 m
2",6m,3 lầu,3 phòng ngủ,"Đường Nguyễn Văn Thoại, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
": 1,69 tỷ","21 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Hải Châu II, Quận Hải Châu,",chỗ để xe
": 2,4 tỷ","47 m
2","3,5m",1 lầu,2 phòng ngủ,"Đường Trương Chí Cương, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 2,25 tỷ","85 m
2","3,5m",2 lầu,2 phòng ngủ,"Phường Hòa Hải, Quận Ngũ Hành Sơn,",chỗ để xe
": 2,38 tỷ","36 m
2",3m,3 lầu,3 phòng ngủ,"Đường Cô Bắc, Phường Hải Châu II, Quận Hải Châu,",chỗ để xe
": 6,2 tỷ","100 m
2",7m,1 lầu,1 phòng ngủ,"Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 5,5 tỷ","55 m
2",5m,3 lầu,3 phòng ngủ,"Đường An Thượng 12, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 5,3 tỷ","100 m
2",6m,2 lầu,3 phòng ngủ,"Đường Mỹ An 24, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 5,5 tỷ","125 m
2","7,5m",4 lầu,4 phòng ngủ,"Đường Nguyễn Đình Chiểu, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",chỗ để xe
": 12,7 tỷ","89 m
2",7m,3 lầu,2 phòng ngủ,"Đường Dương Đình Nghệ, Phường An Hải Bắc, Quận Sơn Trà,",0
": 4,9 tỷ","57 m
2",4m,1 lầu,3 phòng ngủ,"Đường An Thượng 18, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
: 9 tỷ,"70 m
2",10m,5 lầu,7 phòng ngủ,"Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà,",0
": 7,6 tỷ","73 m
2",10m,2 lầu,3 phòng ngủ,"Đường Nguyễn Hoàng, Phường Bình Hiên, Quận Hải Châu,",0
: 5 tỷ,"60 m
2",5m,1 lầu,3 phòng ngủ,"Đường An Thượng 18, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 5,2 tỷ","30 m
2",10m,4 lầu,1 phòng ngủ,"Đường Phan Châu Trinh, Phường Bình Hiên, Quận Hải Châu,",chỗ để xe
": 5,35 tỷ","65 m
2",375m,3 lầu,3 phòng ngủ,"Đường Tiên Sơn 6, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 6,3 tỷ","86 m
2",33m,4 lầu,4 phòng ngủ,"Đường Trường Chinh, Phường An Khê, Quận Thanh Khê,",chỗ để xe
": 3,45 tỷ","44 m
2","2,5m",4 lầu,4 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,",0
