Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Latitude,Longitude,Mặt tiền,Đường vào,Hướng ban công
140 m²,"8,2 tỷ",Bắc,,,,Sổ đỏ/ Sổ hồng,,16.03174,108.2327055,8 m,"5,5 m",
250 m²,Thỏa thuận,,,,,Sổ đỏ/ Sổ hồng.,,16.0204282845418,108.236835391274,10 m,"7,5 m",
494 m²,45 triệu/m²,Tây - Nam,,,,Sổ đỏ/ Sổ hồng,,16.0227691320624,108.236674458733,,"7,5 m",
"82,5 m²","5,2 tỷ",Tây,1 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,16.0378906,108.2150248,5 m,"5,5 m",Tây
93 m²,"5,5 tỷ",,2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,16.0847144558564,108.229954757583,5 m,"7,5 m",
50 m²,"10,8 tỷ",Đông - Nam,6 tầng,,,,,16.0497496,108.2407263,"5,3 m","7,5 m",Đông
"74,3 m²","7,2 tỷ",Đông - Bắc,3 tầng,3 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,,16.0527878,108.2402497,"4,5 m","5,5 m",
47 m²,"3,45 tỷ",,2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.0600877,108.217172,"4,2 m",,
90 m²,"1,95 tỷ",Tây - Nam,,,,Sổ đỏ/ Sổ hồng.,,15.9946815558341,108.23853657285,6 m,5 m,
290 m²,22 tỷ,,,,,Sổ đỏ/ Sổ hồng,,16.0592611912997,108.239882972559,"10,5 m","7,5 m",
300 m²,25 tỷ,Đông - Nam,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.043506622314453,108.24837493896484,15 m,15 m,Đông
"79,4 m²","7,26 tỷ",Bắc,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,16.088382720947266,108.22888946533203,,,Nam
300 m²,48 tỷ,,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,16.043506622314453,108.24837493896484,,,
100 m²,"4,39 tỷ",Đông,,,,Sổ đỏ/ Sổ hồng.,,16.017344,108.24103,7 m,7 m,
150 m²,"12,49 tỷ",,1 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0577569056719,108.238855683703,"11,5 m",7 m,
75 m²,"4,8 tỷ",,1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,16.0341939330462,108.216603041979,5 m,"5,5 m",
100 m²,"7,5 tỷ",,,,,Sổ đỏ/ Sổ hồng,,16.069788747449,108.187454369365,,"7,5 m",
"107,3 m²","19,85 tỷ",,7 tầng,,,Hợp đồng mua bán,Không nội thất,16.05078125,108.23290252685547,,,
60 m²,"1,5 tỷ",,,,,Sổ đỏ/ Sổ hồng,Cơ bản,16.09237289428711,108.1265869140625,,,
"159,7 m²","13,7 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng.,,16.0408038128689,108.243478169034,8 m,,
"79,4 m²","7,26 tỷ",Bắc,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,16.088382720947266,108.22888946533203,,,Nam
383 m²,"28,5 tỷ",Đông - Nam,3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.029903411865234,108.24016571044922,19 m,"7,5 m",
125 m²,"6,2 tỷ",Đông - Nam,1 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.063061967981,108.235895191932,5 m,"5,5 m",Đông - Nam
100 m²,"4,5 tỷ",Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,,16.0231955930248,108.232798312597,5 m,"7,5 m",
122 m²,"10,5 tỷ",Tây - Bắc,,,,Sổ đỏ/ Sổ hồng.,,16.0204178175658,108.255545656122,7 m,"15,5 m",
81 m²,"2,3 tỷ",Tây - Bắc,,,,,,16.1046501,108.1232126,6 m,"5,5 m",
525 m²,35 triệu/m²,Tây - Bắc,,,,,,16.0204516735875,108.237369537354,15 m,"7,5 m",
60 m²,"2,85 tỷ",Bắc,2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,16.0481599963134,108.181264577042,5 m,5 m,
65 m²,Thỏa thuận,Đông,3 tầng,,,,,16.0622792581402,108.219720541986,5 m,,
122 m²,"1,55 tỷ",Tây - Nam,,,,Sổ đỏ/ Sổ hồng,,15.9664975628176,108.211356934255,"5,55 m",5 m,
315 m²,"10,5 tỷ",,,,,Sổ đỏ/ Sổ hồng,,15.9869983983787,108.236445234699,15 m,"7,5 m",
490 m²,42 tỷ,Đông - Nam,3 tầng,6 phòng,8 phòng,,,16.017343521118164,108.24102783203125,"18,3 m","7,5 m",
"131,2 m²",20 tỷ,Tây - Nam,8 tầng,20 phòng,20 phòng,Sổ đỏ/ Sổ hồng.,,16.0476897,108.2466488,5 m,"5,5 m",
100 m²,Thỏa thuận,Đông,3 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Full nội thất.,16.0866214295934,108.220629767468,"4,5 m",,Đông
"86,5 m²",Thỏa thuận,,3 tầng,,,,,16.06505,108.2158955,8 m,,
583 m²,Thỏa thuận,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,16.1033904372364,108.281981223261,21 m,15 m,
"72,9 m²","11,2 tỷ",Tây,4 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0682048,108.220313,"5,4 m","7,5 m",Đông
"60,8 m²",5 tỷ,Đông - Nam,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.043896808742,108.219054184297,4 m,"7,5 m",Tây - Bắc
69 m²,"3,45 tỷ",,,,,,,16.0663882,108.2370272,"4,8 m",5 m,
300 m²,"16,8 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng.,,16.0056864,108.1986696,12 m,"10,5 m",
90 m²,"2,85 tỷ",Tây,,,,Sổ đỏ/ Sổ hồng.,,15.9983298,108.2664093,,"5,5 m",
321 m²,Thỏa thuận,,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0435066223145,108.248374938965,15 m,18 m,
100 m²,10 tỷ,Tây - Nam,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.064449310302734,108.23332214355469,5 m,11 m,
68 m²,"3,35 tỷ",Nam,3 tầng,3 phòng,4 phòng,,,16.0642932938612,108.166854521166,,,
345 m²,Thỏa thuận,,,,,Sổ đỏ/ Sổ hồng,,16.0173435211182,108.241027832031,12 m,"7,5 m",
600 m²,Thỏa thuận,,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,15.992631912231445,108.26937103271484,20 m,18 m,
50 m²,"2,2 tỷ",Đông - Nam,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0902975146422,108.227485656738,,,Tây - Bắc
80 m²,"2,9 tỷ",Tây,,,,Sổ đỏ/ Sổ hồng,,16.0023119132686,108.220014879185,5 m,"5,5 m",
100 m²,"2,9 tỷ",Tây - Nam,,,,Sổ đỏ/ Sổ hồng,,16.0723233360636,108.146273880473,5 m,"7,5 m",
100 m²,"2,65 tỷ",Đông - Bắc,,,,Sổ đỏ/ Sổ hồng.,,16.0943636,108.1380807,4 m,"7,5 m",
1.000 m²,Thỏa thuận,,2 tầng,5 phòng,5 phòng,,Đầy đủ,,,,,
"85,3 m²","2,18 tỷ",Tây - Bắc,,,,Sổ đỏ/ Sổ hồng.,,16.0898235498496,108.147142216096,4 m,5 m,
125 m²,"8,8 tỷ",Đông - Nam,3 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,16.0018018576498,108.220338335915,5 m,"7,5 m",
86 m²,"2,65 tỷ",Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,15.9658710868975,108.211082728312,5 m,33 m,
300 m²,Thỏa thuận,,3 tầng,,,Sổ đỏ/ Sổ hồng,,16.0644493103027,108.233322143555,12 m,,
140 m²,59 tỷ,,9 tầng,24 phòng,25 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.0470926,108.2495224,7 m,30 m,
122 m²,42 tỷ,,10 tầng,22 phòng,22 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0509709,108.2453006,,,
300 m²,"10,5 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,16.0545556553969,108.183304019198,12 m,"7,5 m",
300 m²,Thỏa thuận,,,,,,,16.064449310302734,108.23332214355469,12 m,,
80 m²,Thỏa thuận,Bắc,,,,Sổ đỏ/ Sổ hồng.,,16.0812112,108.2441869,5 m,"5,5 m",
115 m²,"2,19 tỷ",Tây - Bắc,,,,Sổ đỏ/ Sổ hồng.,,16.093572616577148,108.12629699707031,5 m,"5,5 m",
"82,5 m²","4,9 tỷ",,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.038877487182617,108.24740600585938,,,
80 m²,Thỏa thuận,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0324411,108.2186997,,,
"48,7 m²",Thỏa thuận,,,1 phòng,1 phòng,,Cơ bản,16.1001110076904,108.228858947754,,,
46 m²,Thỏa thuận,Đông - Nam,,1 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,16.089019775390625,108.22830200195312,,,Tây - Bắc
90 m²,"3,65 tỷ",,2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.0683691,108.1967638,"4,7 m",,
96 m²,Thỏa thuận,,,2 phòng,2 phòng,Hợp đồng mua bán.,Cơ bản,16.1001110076904,108.228858947754,,,
60 m²,"3,75 tỷ",,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,16.0703146,108.1850829,6 m,,
45 m²,Thỏa thuận,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,16.1001110076904,108.228858947754,,,
87 m²,"12,4 tỷ",,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0613352,108.211804,"4,4 m",,
66 m²,"3,88 tỷ",,3 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0470455239634,108.24950337418,"4,1 m","2,5 m",
80 m²,"6,7 tỷ",,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0582042,108.2361429,5 m,,
100 m²,7 tỷ,,3 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.029903411865234,108.24016571044922,5 m,"10,5 m",
200 m²,19 tỷ,Đông - Nam,3 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.0755336391087,108.232922781744,75 m,"7,5 m",Đông - Nam
180 m²,"4,5 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,15.9832468032837,108.252090454102,"7,5 m","7,5 m",
160 m²,"10,4 tỷ",,,,,Sổ đỏ/ Sổ hồng,,16.0579857739117,108.238835553006,"5,2 m",,
95 m²,"5,55 tỷ",Tây,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,16.0334374271097,108.210740523596,,"5,5 m",
130 m²,"7,2 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,16.0558369009705,108.239782245982,5 m,7 m,
100 m²,"1,46 tỷ",Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,,16.0682782,108.1068829,5 m,5 m,
107 m²,"2,35 tỷ",Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,,16.0935726165771,108.12629699707,5 m,5 m,
100 m²,"1,58 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,16.068452708592,108.10662811114,5 m,"7,5 m",
140 m²,Thỏa thuận,,,,,,,16.0515136,108.2454557,10 m,"10,5 m",
90 m²,"12,5 tỷ",,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0700935959664,108.222966089724,,10 m,
90 m²,13 tỷ,,,,,Sổ đỏ/ Sổ hồng,,16.0548547491275,108.244916599612,"4,5 m",,
180 m²,26 tỷ,,,,,Sổ đỏ/ Sổ hồng,,16.0551977737049,108.244972453083,,,
170 m²,25 tỷ,,,,,Sổ đỏ/ Sổ hồng,,16.0726591093067,108.243048214606,"10,5 m",,
"107,5 m²","3,15 tỷ",,,,,Sổ đỏ/ Sổ hồng,,16.0870408657781,108.149602446081,,,
56 m²,"5,3 tỷ",,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,16.0387672182252,108.218729051234,"4,7 m",,
125 m²,"7,5 tỷ",,3 tầng,4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,16.0364843979102,108.214544734945,,,
74 m²,"5,8 tỷ",,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,16.0428961963208,108.217815798308,,,
106 m²,"23,9 tỷ",,4 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0591317943524,108.207066994402,"4,5 m",30 m,
576 m²,"10,6 tỷ",Nam,,,,Sổ đỏ/ Sổ hồng,,16.116691,108.111761,18 m,"7,5 m",
132 m²,"3,62 tỷ",Tây - Bắc,,,,Sổ đỏ/ Sổ hồng.,,16.011646,108.1732255,"5,5 m",43 m,
60 m²,"9,6 tỷ",,4 tầng,8 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0477339130675,108.246579340136,,,
68 m²,"5,6 tỷ",Đông,3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,16.0203687440691,108.20493427214,11 m,"7,5 m",
"102,8 m²",Thỏa thuận,Đông - Bắc,3 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0935726165771,108.12629699707,5 m,33 m,Đông - Bắc
80 m²,"7,7 tỷ",Bắc,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0824376274352,108.244602737072,5 m,"11,5 m",Nam
250 m²,125 triệu/m²,Tây,,,,Sổ đỏ/ Sổ hồng,,16.064449310302734,108.23332214355469,10 m,"7,5 m",
610 m²,"29,9 tỷ",Đông,2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất cao cấp.,16.0170230865479,108.260246276855,"17,5 m",17 m,Đông - Nam
310 m²,"12,5 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng.,,16.0602976505821,108.236370205214,12 m,7 m,
"42,2 m²","2,5 tỷ",Bắc,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.06861686706543,108.24445343017578,,,Nam
100 m²,13 tỷ,Tây - Nam,,,,Sổ đỏ/ Sổ hồng.,,16.0387737,108.2372265,5 m,15 m,
80 m²,"8,4 tỷ",,5 tầng,9 phòng,10 phòng,Sổ đỏ/ Sổ hồng,,16.0690085,108.2352123,5 m,"7,5 m",
838 m²,40 tỷ,,,,,Sổ đỏ/ Sổ hồng,,16.104507,108.2426056,34 m,21 m,
111 m²,"6,8 tỷ",Đông - Bắc,3 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,16.0201835123046,108.226912634548,5 m,"7,5 m",
"157,5 m²",6 tỷ,Bắc,,,,Sổ đỏ/ Sổ hồng,,15.990434014322,108.26832423175,7 m,"7,5 m",
98 m²,"4,3 tỷ",Tây,,,,Sổ đỏ/ Sổ hồng.,,16.0712806518641,108.195461189963,5 m,"5,5 m",
90 m²,"5,5 tỷ",Bắc,2 tầng,4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0416660316153,108.245372454389,,,
90 m²,"2,6 tỷ",Nam,,,,Sổ đỏ/ Sổ hồng,,15.9841466372177,108.215127595447,5 m,"5,5 m",
220 m²,"17,5 tỷ",Tây - Nam,3 tầng,5 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0418612549265,108.208405732766,10 m,6 m,
3.000 m²,"3,7 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng.,,16.0431152,108.0712054,70 m,5 m,
170 m²,"29,5 tỷ",,9 tầng,,,,,16.0558376,108.2449005,10 m,5 m,
90.000 m²,Thỏa thuận,Tây - Bắc,,,,Giấy tờ hồ sơ quy chủ,,16.0530458,108.1547279,100 m,5 m,
90.000 m²,Thỏa thuận,Tây - Bắc,,,,Giấy tờ hồ sơ quy chủ,,16.0530458,108.1547279,100 m,5 m,
8.000 m²,"7,7 tỷ",Đông,,,,Sổ đỏ/ Sổ hồng,,16.1242695,108.0105137,100 m,5 m,
10.000 m²,800 triệu,Đông - Bắc,,,,Giấy tờ quy chủ,,16.0530458,108.1547279,50 m,"7,5 m",
105 m²,"12,5 tỷ",Đông - Nam,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,16.0709072082934,108.195388409226,"5,5 m",12 m,
10.000 m²,"10,5 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,15.9676574,108.0163872,70 m,7 m,
"102,6 m²","10,5 tỷ",Tây,,,,Sổ đỏ/ Sổ hồng,,16.0640789,108.2317176,"5,4 m","10,5 m",
"102,6 m²","10,5 tỷ",Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,,16.0640789,108.2317176,"5,4 m","10,5 m",Tây - Bắc
"46,4 m²",Thỏa thuận,Đông,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0686168670654,108.244453430176,,,Tây
1.100 m²,950 triệu,,,,,Sổ đỏ/ Sổ hồng.,,16.0963618,108.095683,39 m,5 m,
160 m²,"2,58 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,16.0491464538665,108.109158468155,"8,3 m","7,5 m",
1.000 m²,Thỏa thuận,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,16.0431152,108.0712054,30 m,"7,5 m",
55.000 m²,"9,5 tỷ",Đông - Bắc,,,,Sổ đỏ/ Sổ hồng.,,16.0482758,108.0124469,150 m,"7,5 m",
110 m²,"4,8 tỷ",Đông - Nam,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,15.9871390625959,108.236134888681,5 m,"7,5 m",
190 m²,"19,99 tỷ",,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0468871527516,108.245250174054,"9,5 m",6 m,
100 m²,"3,4 tỷ",Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,,15.991097450256348,108.26021575927734,5 m,"7,5 m",
