,area,price,num_of_stories,num_of_bedrooms,num_of_toilets
298,180.0,,4,35.0,36.0
299,82.5,7.6,3,3.0,3.0
300,100.0,8.0,3,,3.0
301,82.5,7.6,3,3.0,3.0
302,100.0,8.0,3,,3.0
303,329.0,,5,25.0,25.0
304,460.0,18.5,3,8.0,8.0
305,30.0,1.2,,,
306,100.0,13.9,5,7.0,7.0
307,130.0,42.0,11,23.0,23.0
308,95.0,25.0,8,11.0,11.0
309,264.0,18.0,6,10.0,10.0
310,200.0,78.0,10,21.0,21.0
311,90.0,12.3,7,10.0,10.0
312,110.0,15.0,3,3.0,3.0
313,90.0,6.0,3,3.0,3.0
314,234.0,52.0,6,16.0,16.0
315,160.0,21.3,7,21.0,21.0
316,60.0,7.0,3,3.0,2.0
317,100.0,15.0,6,17.0,17.0
318,100.0,26.6,8,21.0,21.0
319,160.0,11.5,4,7.0,9.0
320,150.0,16.5,3,5.0,5.0
321,102.5,17.5,8,16.0,16.0
322,87.0,11.5,,7.0,8.0
323,93.8,17.0,3,4.0,3.0
324,76.0,7.25,4,3.0,5.0
325,103.0,15.5,3,5.0,4.0
326,82.0,6.8,3,3.0,3.0
327,90.0,6.5,3,4.0,4.0
328,118.0,6.2,3,4.0,3.0
329,100.0,3.99,3,3.0,3.0
330,80.0,4.0,,,
331,100.0,4.35,2,3.0,2.0
332,300.0,16.5,1,3.0,3.0
333,100.0,5.0,2,2.0,2.0
334,100.0,4.19,3,3.0,3.0
335,293.0,38.0,3,6.0,6.0
336,65.0,10.2,3,4.0,4.0
337,90.0,15.5,5,9.0,9.0
338,111.0,18.85,6,15.0,15.0
339,100.0,5.0,2,2.0,2.0
340,100.0,4.19,3,3.0,3.0
341,293.0,38.0,3,6.0,6.0
342,65.0,10.2,3,4.0,4.0
343,90.0,15.5,5,9.0,9.0
344,111.0,18.85,6,15.0,15.0
345,110.0,13.0,4,,
346,55.0,,4,4.0,4.0
347,103.0,15.5,3,5.0,7.0
348,82.0,5.2,2,2.0,2.0
349,362.0,18.3,2,3.0,3.0
350,83.0,5.0,1,2.0,
351,100.0,11.5,3,3.0,3.0
352,125.0,21.5,4,4.0,4.0
353,108.0,12.0,3,4.0,3.0
354,55.0,11.0,4,3.0,3.0
355,99.0,9.7,5,7.0,7.0
356,100.0,3.5,2,3.0,2.0
357,83.0,5.0,1,2.0,
358,100.0,11.5,3,3.0,3.0
359,125.0,21.5,4,4.0,4.0
360,108.0,12.0,3,4.0,3.0
361,55.0,11.0,4,3.0,3.0
362,99.0,9.7,5,7.0,7.0
363,100.0,3.5,2,3.0,2.0
364,80.0,5.5,2,3.0,2.0
365,70.0,6.2,3,4.0,3.0
366,60.0,4.9,2,3.0,2.0
367,180.0,35.0,3,4.0,4.0
368,300.0,21.8,3,4.0,5.0
369,85.0,14.2,3,3.0,3.0
370,167.0,12.5,1,3.0,2.0
371,100.0,9.0,3,4.0,5.0
372,150.0,19.5,2,4.0,4.0
373,300.0,21.8,3,4.0,4.0
374,120.0,13.0,4,4.0,4.0
375,108.0,17.0,4,4.0,4.0
376,80.0,8.5,4,3.0,3.0
377,95.0,7.6,3,3.0,3.0
378,100.0,10.4,3,3.0,3.0
379,137.0,5.5,3,4.0,5.0
380,180.0,39.5,8,30.0,30.0
381,81.0,5.6,3,3.0,3.0
382,158.5,5.95,2,3.0,3.0
383,105.0,6.0,2,3.0,3.0
384,50.0,8.0,3,3.0,2.0
385,45.0,4.58,3,3.0,3.0
386,289.0,75.0,5,15.0,
387,40.0,6.8,4,,
388,55.0,12.5,2,,
389,50.0,6.0,5,3.0,
390,60.0,4.8,2,3.0,
391,71.0,4.2,3,,
392,100.0,6.7,3,3.0,3.0
393,43.0,6.3,4,3.0,
394,88.0,12.0,4,5.0,3.0
395,82.0,3.6,2,3.0,2.0
396,37.0,2.7,2,2.0,2.0
397,151.0,12.0,3,14.0,14.0
398,182.0,12.5,3,3.0,4.0
399,300.0,,2,3.0,4.0
400,76.0,7.25,4,3.0,5.0
401,85.9,6.49,2,3.0,2.0
402,60.1,6.89,1,1.0,1.0
403,59.0,5.0,3,3.0,3.0
404,90.0,6.79,3,15.0,16.0
405,55.0,5.45,3,4.0,3.0
406,115.0,14.5,4,5.0,5.0
407,60.0,7.2,4,4.0,5.0
408,595.0,550.0,18,111.0,120.0
409,75.0,5.35,3,4.0,4.0
410,45.0,4.65,3,3.0,3.0
411,76.0,7.25,4,3.0,5.0
412,148.0,60.0,2,3.0,3.0
413,85.0,15.5,2,3.0,3.0
414,76.0,7.25,4,3.0,5.0
415,148.0,60.0,2,3.0,3.0
416,85.0,15.5,2,3.0,3.0
417,300.0,,3,3.0,4.0
418,84.2,3.65,2,2.0,2.0
419,108.0,,3,3.0,4.0
420,106.0,13.0,4,4.0,4.0
421,110.0,15.5,4,,
422,95.0,10.5,3,4.0,3.0
423,600.0,201.0,,,
424,110.0,15.5,3,,
425,130.0,25.0,3,,
426,110.0,15.5,4,5.0,5.0
427,675.0,,6,,
428,105.0,15.5,4,5.0,5.0
429,110.0,15.5,4,6.0,6.0
430,106.0,2.17,1,2.0,2.0
431,108.0,18.468,3,5.0,5.0
432,105.0,15.5,4,5.0,5.0
433,110.0,15.5,4,6.0,6.0
434,106.0,2.17,1,2.0,2.0
435,108.0,18.468,3,5.0,5.0
436,90.0,7.0,2,4.0,2.0
437,180.0,39.0,10,32.0,32.0
438,100.0,9.5,4,3.0,5.0
439,48.0,2.1,,,
440,76.0,7.25,4,3.0,5.0
441,90.0,7.0,2,4.0,2.0
442,57.0,,,,
443,90.0,10.0,6,9.0,9.0
444,199.0,26.0,6,28.0,28.0
445,100.0,0.09,3,3.0,3.0
446,80.0,,2,3.0,2.0
447,120.0,13.2,6,18.0,18.0
448,100.0,9.5,4,6.0,5.0
449,103.0,2.5,1,3.0,3.0
450,60.0,12.8,4,3.0,3.0
451,80.0,,2,3.0,2.0
452,120.0,13.2,6,18.0,18.0
453,100.0,9.5,4,6.0,5.0
454,103.0,2.5,1,3.0,3.0
455,60.0,12.8,4,3.0,3.0
456,71.0,11.99,4,4.0,4.0
457,76.0,7.25,4,5.0,5.0
458,30.0,1.8,,,
459,108.0,16.1,3,5.0,5.0
460,83.0,12.5,2,3.0,2.0
461,300.0,21.0,2,3.0,4.0
462,58.0,2.89,,,1.0
463,109.0,15.9,3,5.0,
464,300.0,21.0,2,4.0,4.0
465,100.0,4.95,3,3.0,2.0
466,132.0,9.9,3,5.0,5.0
467,80.0,16.0,8,8.0,8.0
468,87.0,11.8,5,7.0,7.0
469,81.0,5.3,3,3.0,3.0
470,87.0,11.8,5,7.0,7.0
471,81.0,5.3,3,3.0,3.0
472,180.0,33.0,7,24.0,24.0
473,56.0,3.05,2,2.0,2.0
474,38.0,2.2,1,2.0,2.0
475,83.0,3.7,1,2.0,1.0
476,54.0,2.45,2,3.0,3.0
477,100.0,19.8,7,21.0,23.0
478,87.5,8.3,3,3.0,4.0
479,106.0,13.7,2,1.0,2.0
480,87.4,12.5,3,3.0,3.0
481,60.0,2.1,,2.0,1.0
482,45.0,4.58,3,3.0,3.0
483,108.0,4.89,2,2.0,2.0
484,81.0,11.5,4,,
485,108.0,15.8,3,6.0,8.0
486,350.0,,3,6.0,8.0
487,105.0,6.5,3,3.0,3.0
488,133.0,,2,3.0,2.0
489,105.0,6.5,3,3.0,3.0
490,133.0,,2,3.0,2.0
491,250.0,13.75,3,8.0,8.0
492,122.0,42.0,10,22.0,24.0
493,90.0,4.6,2,3.0,3.0
494,150.6,15.5,3,4.0,5.0
495,90.0,4.19,2,2.0,2.0
496,299.0,21.0,3,4.0,4.0
497,130.0,26.0,,,
498,122.0,42.0,10,22.0,22.0
499,140.0,59.0,9,24.0,25.0
500,55.0,2.0,1,1.0,1.0
501,120.0,9.1,3,3.0,3.0
502,100.0,3.68,2,3.0,2.0
503,500.0,,3,,
504,120.0,18.0,7,,
505,400.0,,,,
506,60.0,2.97,2,3.0,2.0
507,80.0,3.25,2,3.0,4.0
508,68.0,9.8,3,,
509,61.3,3.2,,,1.0
510,156.5,11.5,4,4.0,8.0
511,310.0,32.5,2,4.0,4.0
512,173.5,9.2,4,5.0,7.0
513,92.4,9.65,2,2.0,2.0
514,70.0,5.6,3,3.0,3.0
515,131.2,20.0,8,20.0,22.0
516,125.0,4.7,2,2.0,2.0
517,118.0,6.8,4,4.0,4.0
518,140.0,,4,3.0,
519,144.0,8.5,4,5.0,5.0
520,180.0,34.0,7,27.0,27.0
521,110.6,6.45,3,3.0,3.0
522,250.0,33.0,3,4.0,4.0
523,607.0,31.0,3,3.0,3.0
524,77.0,3.5,,2.0,2.0
525,105.0,,7,,
526,97.0,10.2,2,,
527,77.0,3.5,,2.0,2.0
528,105.0,,7,,
529,97.0,10.2,2,,
530,100.0,7.7,2,2.0,2.0
531,100.0,,3,3.0,3.0
532,100.0,6.0,3,4.0,4.0
533,103.0,15.4,3,,
534,103.0,15.4,3,,
535,100.0,6.8,3,3.0,3.0
536,54.0,2.95,2,2.0,2.0
537,56.0,5.3,3,3.0,3.0
538,41.1,8.2,3,3.0,2.0
539,160.0,17.6,3,5.0,6.0
540,100.0,6.9,3,4.0,4.0
541,93.3,9.49,2,2.0,3.0
542,80.0,16.5,7,8.0,7.0
543,100.0,8.0,3,3.0,
544,108.0,12.5,3,4.0,4.0
545,108.0,12.5,3,4.0,4.0
546,161.5,10.5,,3.0,2.0
547,83.4,8.6,3,4.0,
548,75.0,6.2,3,3.0,4.0
549,100.0,,3,3.0,3.0
550,100.0,9.7,,,
551,500.0,15.0,3,3.0,3.0
552,300.0,21.0,3,5.0,6.0
553,138.0,13.0,2,5.0,3.0
554,104.0,13.8,1,1.0,
555,100.0,11.5,3,4.0,4.0
556,100.0,9.7,,,
557,259.6,18.6,,,
558,100.0,5.1,2,4.0,4.0
559,153.0,19.0,3,7.0,6.0
560,100.0,4.55,3,4.0,4.0
561,93.0,,3,,
562,106.0,4.0,3,4.0,4.0
563,100.0,5.1,2,4.0,4.0
564,153.0,19.0,3,7.0,6.0
565,100.0,4.55,3,4.0,4.0
566,93.0,,3,,
567,106.0,4.0,3,4.0,4.0
568,108.53,16.1,3,3.0,4.0
569,54.0,10.2,3,2.0,2.0
570,90.0,13.5,4,5.0,5.0
571,100.0,7.2,3,3.0,3.0
572,100.0,4.5,1,2.0,2.0
573,100.0,5.9,3,3.0,4.0
574,134.0,26.5,1,,
575,73.0,7.0,2,,
576,110.0,4.8,3,4.0,3.0
577,90.0,22.5,3,7.0,
578,167.0,7.6,2,3.0,3.0
579,1100.0,,27,,
580,162.0,8.55,1,3.0,2.0
581,80.0,7.2,,3.0,2.0
582,1100.0,,27,,
583,162.0,8.55,1,3.0,2.0
584,80.0,7.2,,3.0,2.0
585,76.0,7.25,4,5.0,5.0
586,60.0,4.9,3,3.0,3.0
587,35.0,8.89,3,3.0,1.0
588,105.0,22.5,4,4.0,4.0
589,166.0,27.0,6,19.0,20.0
590,131.2,20.0,8,20.0,20.0
591,117.5,20.0,7,14.0,15.0
592,90.0,22.5,4,7.0,7.0
593,100.0,3.98,2,3.0,2.0
594,62.0,7.99,5,8.0,8.0
595,550.0,46.0,,,
596,70.0,6.0,2,3.0,2.0
597,90.0,,7,,
598,200.0,36.0,5,,
599,92.0,3.5,1,2.0,1.0
600,80.0,7.2,1,3.0,2.0
601,70.0,6.0,2,3.0,2.0
602,90.0,,7,,
603,200.0,36.0,5,,
604,92.0,3.5,1,2.0,1.0
605,80.0,7.2,1,3.0,2.0
606,182.0,20.5,3,3.0,4.0
607,75.0,4.8,1,2.0,1.0
608,105.0,5.4,3,4.0,3.0
609,100.0,26.0,3,,
610,79.9,3.6,,,1.0
611,100.0,4.0,2,3.0,2.0
612,176.6,6.1,2,,
613,101.0,11.8,4,,
614,112.2,4.35,,,
615,75.0,13.6,7,,
616,90.0,5.1,,,
617,77.5,3.3,2,3.0,2.0
618,100.0,11.0,3,6.0,4.0
619,110.6,6.45,3,3.0,3.0
620,75.0,13.6,7,,
621,90.0,5.1,,,
622,77.5,3.3,2,3.0,2.0
623,100.0,11.0,3,6.0,4.0
624,110.6,6.45,3,3.0,3.0
625,90.0,13.0,,,
626,119.4,9.1,3,3.0,
627,100.0,5.9,3,3.0,3.0
628,1174.5,,16,200.0,200.0
629,200.0,12.5,3,4.0,5.0
630,108.0,32.0,5,12.0,12.0
631,90.0,6.3,3,5.0,4.0
632,116.0,6.5,2,,
633,85.0,3.9,2,3.0,2.0
634,85.5,4.69,2,2.0,1.0
635,135.0,,,,
636,177.8,24.0,,,
637,100.0,9.7,1,1.0,1.0
638,54.0,8.1,2,2.0,2.0
639,77.5,8.9,2,2.0,2.0
640,105.0,15.99,3,5.0,4.0
641,132.0,19.0,,,
642,71.1,3.73,1,1.0,1.0
643,70.0,12.6,3,4.0,
644,300.0,16.5,,3.0,4.0
645,80.0,,,,
646,60.0,3.8,3,3.0,3.0
647,100.0,4.95,3,3.0,3.0
648,145.0,4.3,4,9.0,9.0
649,100.0,10.5,3,4.0,3.0
650,50.0,2.5,2,3.0,3.0
651,106.0,4.6,3,4.0,3.0
652,253.0,28.0,2,3.0,4.0
653,900.0,77.0,2,,
654,190.6,26.0,5,15.0,16.0
655,271.2,,6,10.0,10.0
656,202.7,26.0,3,,
657,60.0,3.78,3,4.0,2.0
658,106.0,34.0,,,
659,100.0,15.0,3,4.0,4.0
660,112.5,2.8,1,2.0,1.0
661,105.0,6.2,3,3.0,3.0
662,226.0,23.0,,,
663,105.0,9.6,3,4.0,4.0
664,120.0,16.0,,,
665,155.0,13.5,,,
666,92.5,7.3,3,4.0,4.0
667,100.0,15.0,,,
668,135.0,16.0,3,,
669,75.0,7.25,4,4.0,5.0
670,100.0,9.8,,,
671,300.0,16.5,,3.0,
672,100.0,3.7,,,
673,100.0,2.9,2,3.0,2.0
674,95.0,7.0,3,4.0,
675,100.0,3.7,,,
676,100.0,2.9,2,3.0,2.0
677,95.0,7.0,3,4.0,
678,100.0,15.0,4,5.0,4.0
679,90.0,5.28,4,4.0,5.0
680,207.0,24.9,2,4.0,4.0
681,65.0,4.6,3,3.0,3.0
682,43.0,3.7,2,2.0,2.0
683,43.0,2.98,3,4.0,3.0
684,76.0,4.7,2,3.0,2.0
685,200.0,8.3,4,6.0,5.0
686,80.0,7.0,3,3.0,2.0
687,414.2,,3,,
688,490.0,26.0,2,2.0,2.0
689,94.6,5.3,3,3.0,3.0
690,50.0,2.2,,1.0,1.0
691,94.6,5.3,3,3.0,3.0
692,50.0,2.2,,1.0,1.0
693,161.4,8.55,1,3.0,2.0
694,100.0,11.0,3,3.0,3.0
695,95.0,2.1,2,2.0,2.0
696,107.0,6.15,2,4.0,3.0
697,289.0,,4,7.0,8.0
698,300.0,,,,
699,103.0,6.05,,2.0,1.0
700,115.0,10.5,2,5.0,5.0
701,145.0,58.0,8,28.0,30.0
702,120.0,2.5,1,1.0,1.0
703,73.2,4.58,2,3.0,3.0
704,92.5,,7,,
705,73.2,4.58,2,3.0,3.0
706,50.0,3.4,3,6.0,3.0
707,142.0,7.6,2,3.0,2.0
708,86.8,8.0,3,3.0,4.0
709,92.5,,7,,
710,438.0,,,,
711,50.0,3.4,3,6.0,3.0
712,142.0,7.6,2,3.0,2.0
713,86.8,8.0,3,3.0,4.0
714,90.0,4.7,3,3.0,3.0
715,108.0,15.336,3,5.0,6.0
716,350.0,25.0,3,3.0,4.0
717,100.0,30.0,8,20.0,22.0
718,100.0,18.0,3,4.0,3.0
719,300.0,,4,5.0,6.0
720,65.0,4.39,3,4.0,4.0
721,100.0,3.15,1,4.0,4.0
722,80.0,5.65,4,6.0,5.0
723,67.0,2.85,2,2.0,2.0
724,82.0,4.3,2,2.0,2.0
725,73.0,3.49,2,3.0,2.0
726,152.0,,,,
727,94.0,2.7,1,2.0,2.0
728,73.0,3.49,2,3.0,2.0
729,152.0,,,,
730,94.0,2.7,1,2.0,2.0
731,96.0,5.9,2,3.0,3.0
732,170.68,40.0,3,,
733,2464.0,,,,
734,100.0,18.57,7,,
735,172.0,69.2,5,,
736,108.0,29.4,5,,
737,108.0,18.4,3,,
738,100.0,1.67,1,1.0,1.0
739,95.0,9.5,3,4.0,3.0
740,900.0,,25,,
741,90.0,9.2,3,4.0,4.0
742,99.0,,,,
743,196.0,,5,4.0,
744,147.0,22.5,3,3.0,3.0
745,255.0,,,,
746,226.0,24.5,3,8.0,8.0
747,226.0,24.5,3,8.0,8.0
748,300.0,,2,4.0,
749,258.0,35.5,3,4.0,3.0
750,350.0,20.0,,4.0,
751,98.0,5.5,1,2.0,2.0
752,623.6,26.0,2,2.0,2.0
753,300.0,25.0,3,4.0,3.0
754,90.0,22.5,4,8.0,8.0
755,200.0,78.0,10,25.0,26.0
756,100.0,7.95,,,
757,100.0,13.8,5,12.0,12.0
758,110.9,6.3,,1.0,1.0
759,61.0,3.5,3,5.0,5.0
760,90.0,7.2,2,4.0,2.0
761,75.0,9.0,3,4.0,4.0
762,95.0,6.4,4,5.0,5.0
763,120.0,12.7,4,5.0,5.0
764,299.0,21.0,3,5.0,5.0
765,280.1,18.5,2,3.0,3.0
766,300.0,19.5,3,4.0,4.0
767,85.0,5.75,4,4.0,6.0
768,74.3,7.2,3,3.0,1.0
769,50.0,10.8,6,,
770,610.0,29.9,2,3.0,3.0
771,300.0,30.0,2,4.0,4.0
772,300.0,,4,5.0,5.0
773,72.0,11.0,5,6.0,7.0
774,81.4,11.3,5,7.0,7.0
775,100.0,8.5,3,5.0,5.0
776,21.0,58.0,5,,
777,103.0,15.5,3,6.0,5.0
778,150.0,45.0,8,28.0,28.0
779,100.0,,3,6.0,4.0
780,95.0,6.6,2,5.0,4.0
781,160.0,,,,
782,100.0,6.7,3,4.0,4.0
783,66.3,3.95,3,3.0,4.0
784,125.0,,1,2.0,2.0
785,90.0,16.0,6,11.0,12.0
786,336.0,33.5,4,26.0,31.0
787,68.0,15.0,7,8.0,10.0
788,82.0,13.0,2,3.0,3.0
789,103.0,,4,5.0,5.0
790,62.0,3.4,,5.0,5.0
791,185.0,60.0,,40.0,41.0
792,65.0,4.3,3,4.0,3.0
793,82.0,10.9,5,6.0,6.0
794,65.4,5.7,3,3.0,3.0
795,250.0,,3,4.0,4.0
796,70.0,6.2,3,4.0,3.0
797,120.0,5.0,3,10.0,10.0
798,80.0,9.7,,,
799,109.2,,4,,
800,130.0,8.75,,3.0,2.0
801,84.0,8.3,3,4.0,4.0
802,300.0,16.5,2,3.0,3.0
803,100.0,4.9,3,4.0,3.0
804,300.0,16.5,2,3.0,3.0
805,100.0,4.9,3,4.0,3.0
806,100.0,1.55,1,2.0,1.0
807,180.0,7.5,1,2.0,3.0
808,90.0,6.5,3,4.0,4.0
809,111.6,19.15,6,,
810,34.0,2.1,,,
811,133.0,8.2,2,3.0,2.0
812,70.0,5.6,3,3.0,
813,78.0,8.3,3,3.0,4.0
814,115.3,,7,6.0,5.0
815,102.0,26.0,2,2.0,2.0
816,49.3,4.25,,2.0,1.0
817,344.0,100.0,,,
818,105.0,6.4,1,1.0,1.0
819,75.0,4.38,3,4.0,3.0
820,220.5,59.0,5,10.0,11.0
821,70.0,5.59,3,3.0,3.0
822,125.0,6.79,1,1.0,1.0
823,85.0,19.99,8,15.0,16.0
824,85.0,5.5,2,2.0,2.0
825,125.0,4.6,1,5.0,5.0
826,118.0,6.8,4,5.0,4.0
827,50.0,8.0,3,4.0,4.0
828,226.0,3.99,2,5.0,2.0
829,100.0,4.6,2,4.0,3.0
830,56.2,2.6,,,
831,81.0,6.0,3,3.0,3.0
832,125.0,7.2,3,3.0,3.0
833,616.0,33.0,2,3.0,3.0
834,105.0,12.0,5,,
835,103.0,21.0,8,18.0,18.0
836,95.0,7.2,3,4.0,3.0
837,120.0,12.03,4,,
838,120.0,6.5,4,6.0,6.0
839,850.0,138.0,3,4.0,4.0
