price,area,road_width,floors,bedroom,loc,garage
": 3,8 tỷ","55 m
2",5m,2 lầu,3 phòng ngủ,"Đường Bùi Thị Xuân, Phường An Hải Tây, Quận Sơn Trà,",chỗ để xe
": 6,7 tỷ","90 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Hồ Nghinh, Phường Mân Thái, Quận Sơn Trà,",chỗ để xe
": 2,3 tỷ","60 m
2",3m,2 lầu,3 phòng ngủ,"Đường Phạm Nhữ Tăng, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
": 3,48 tỷ","72 m
2","3,5m",2 lầu,3 phòng ngủ,"Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê,",chỗ để xe
": 3,48 tỷ","72 m
2","3,5m",2 lầu,3 phòng ngủ,"Đường Lê Đình Dương, Phường Bình Hiên, Quận Hải Châu,",chỗ để xe
": 9,65 tỷ","90 m
2",16m,4 lầu,4 phòng ngủ,"Đường Nguyễn Trung Trực, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 9,25 tỷ","115 m
2",16m,2 lầu,3 phòng ngủ,"Đường Nguyễn Thị Định, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 6,1 tỷ","75 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Đỗ Huy Uyển, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 8,5 tỷ","86 m
2","7,5m",3 lầu,5 phòng ngủ,"Đường Quang Trung, Phường Thạch Thang, Quận Hải Châu,",chỗ để xe
": 8,5 tỷ","85 m
2","7,5m",3 lầu,5 phòng ngủ,"Đường Đống Đa, Phường Thanh Bình, Quận Hải Châu,",chỗ để xe
": 3,8 tỷ","55 m
2",4m,2 lầu,3 phòng ngủ,"Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 6,3 tỷ","120 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Hồ Nghinh, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 2,59 tỷ","40 m
2","3,5m",2 lầu,2 phòng ngủ,"Đường Nguyễn Du, Phường Thuận Phước, Quận Hải Châu,",chỗ để xe
": 2,65 tỷ","72 m
2",3m,2 lầu,2 phòng ngủ,"Đường Huỳnh Ngọc Huệ, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
": 9,7 tỷ","170 m
2",6m,1 lầu,2 phòng ngủ,"Đường Tô Hiến Thành, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 3,6 tỷ","56 m
2",3m,3 lầu,4 phòng ngủ,"Đường Lý Tự Trọng, Phường Thạch Thang, Quận Hải Châu,",chỗ để xe
": 3,3 tỷ","84 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lê Đình Dương, Phường Nam Dương, Quận Hải Châu,",chỗ để xe
": 3,2 tỷ","80 m
2",3m,2 lầu,2 phòng ngủ,"Đường Phạm Quang Ảnh, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 2,75 tỷ","51 m
2",3m,2 lầu,3 phòng ngủ,"Đường Phan Phú Tiên, Phường Thanh Khê Tây, Quận Thanh Khê,",chỗ để xe
": 3,5 tỷ","52 m
2",3m,3 lầu,4 phòng ngủ,"Đường Nguyễn Tri Phương, Phường Hòa Thuận Đông, Quận Hải Châu,",chỗ để xe
": 3,25 tỷ","110 m
2",6m,1 lầu,2 phòng ngủ,"Đường Hà Huy Tập, Phường Xuân Hà, Quận Thanh Khê,",chỗ để xe
": 3,05 tỷ","75 m
2","4,5m",1 lầu,2 phòng ngủ,"Đường Nguyễn Tất Thành, Phường Xuân Hà, Quận Thanh Khê,",chỗ để xe
": 2,9 tỷ","60 m
2",3m,2 lầu,3 phòng ngủ,"Đường Phan Kế Bính, Phường Thuận Phước, Quận Hải Châu,",chỗ để xe
": 3,69 tỷ","65 m
2",3m,3 lầu,4 phòng ngủ,"Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê,",chỗ để xe
": 3,1 tỷ","50 m
2",4m,3 lầu,3 phòng ngủ,"Đường Phạm Nhữ Tăng, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
": 3,1 tỷ","50 m
2",4m,3 lầu,3 phòng ngủ,"Đường Nguyễn Đình Tựu, Phường An Khê, Quận Thanh Khê,",chỗ để xe
": 5,35 tỷ","122 m
2",4m,3 lầu,4 phòng ngủ,"Đường Chính Hữu, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 7,9 tỷ","95 m
2","7,5m",4 lầu,6 phòng ngủ,"Đường Trần Quang Diệu, Phường An Hải Tây, Quận Sơn Trà,",chỗ để xe
": 4,75 tỷ","56 m
2",6m,3 lầu,3 phòng ngủ,"Đường Ỷ Lan Nguyên Phi, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 6,2 tỷ","100 m
2","5,5m",1 lầu,2 phòng ngủ,"Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 9,5 tỷ","71 m
2","7,5m",4 lầu,3 phòng ngủ,"Đường Nguyễn Hoàng, Phường Bình Thuận, Quận Hải Châu,",chỗ để xe
": 7,2 tỷ","80 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Nguyễn Hoàng, Phường Bình Hiên, Quận Hải Châu,",chỗ để xe
": 3,2 tỷ","60 m
2",4m,2 lầu,3 phòng ngủ,"Đường Lý Tự Trọng, Phường Thạch Thang, Quận Hải Châu,",chỗ để xe
": 2,8 tỷ","51 m
2",3m,2 lầu,3 phòng ngủ,"Đường Đặng Đình Vân, Phường Thanh Khê Tây, Quận Thanh Khê,",chỗ để xe
": 3,45 tỷ","90 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lê Duẩn, Phường Tân Chính, Quận Thanh Khê,",chỗ để xe
": 3,1 tỷ","72 m
2",3m,2 lầu,3 phòng ngủ,"Đường Hải Phòng, Phường Thạch Thang, Quận Hải Châu,",chỗ để xe
": 2,6 tỷ","60 m
2",3m,2 lầu,3 phòng ngủ,"Đường Ông Ích Khiêm, Phường Tam Thuận, Quận Thanh Khê,",chỗ để xe
": 3,3 tỷ","62 m
2",4m,2 lầu,3 phòng ngủ,"Đường Ông Ích Khiêm, Phường Thạch Thang, Quận Hải Châu,",chỗ để xe
": 3,1 tỷ","62 m
2","3,5m",2 lầu,3 phòng ngủ,"Đường Thanh Sơn, Phường Thanh Bình, Quận Hải Châu,",chỗ để xe
": 4,95 tỷ","90 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu,",chỗ để xe
": 3,6 tỷ","90 m
2",6m,2 lầu,3 phòng ngủ,"Đường Lê Độ, Phường Xuân Hà, Quận Thanh Khê,",chỗ để xe
": 4,65 tỷ","95 m
2",6m,1 lầu,2 phòng ngủ,"Đường Phạm Cự Lượng, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 2,75 tỷ","60 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lê Đình Dương, Phường Nam Dương, Quận Hải Châu,",chỗ để xe
": 2,65 tỷ","65 m
2",3m,2 lầu,3 phòng ngủ,"Đường Thanh Sơn, Phường Thạch Thang, Quận Hải Châu,",chỗ để xe
": 2,35 tỷ","50 m
2",3m,2 lầu,3 phòng ngủ,"Đường Trưng Nữ Vương, Phường Hòa Thuận Đông, Quận Hải Châu,",chỗ để xe
": 2,59 tỷ","51 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lê Đình Lý, Phường Bình Thuận, Quận Hải Châu,",chỗ để xe
": 3,7 tỷ","55 m
2",5m,3 lầu,3 phòng ngủ,"Đường Huỳnh Ngọc Huệ, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
": 3,38 tỷ","86 m
2",4m,3 lầu,4 phòng ngủ,"Đường Trần Cao Vân, Phường Thanh Khê Tây, Quận Thanh Khê,",chỗ để xe
": 3,38 tỷ","86 m
2",4m,3 lầu,4 phòng ngủ,"Đường Nguyễn Đức Trung, Phường Thanh Khê Đông, Quận Thanh Khê,",chỗ để xe
": 10,5 tỷ","90 m
2",11m,3 lầu,4 phòng ngủ,"Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
": 6,3 tỷ","120 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Khúc Hạo, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 6,09 tỷ","70 m
2","5,5m",2 lầu,4 phòng ngủ,"Đường An Nhơn 7, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 6,7 tỷ","90 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Hồ Nghinh, Phường Mân Thái, Quận Sơn Trà,",chỗ để xe
": 3,3 tỷ","90 m
2",4m,2 lầu,3 phòng ngủ,"Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu,",chỗ để xe
": 3,8 tỷ","55 m
2",5m,2 lầu,3 phòng ngủ,"Đường Bùi Thị Xuân, Phường An Hải Tây, Quận Sơn Trà,",chỗ để xe
": 5,8 tỷ","115 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Phan Bá Phiến, Phường Thọ Quang, Quận Sơn Trà,",chỗ để xe
": 3,2 tỷ","60 m
2",4m,2 lầu,3 phòng ngủ,"Đường Lý Tự Trọng, Phường Thạch Thang, Quận Hải Châu,",chỗ để xe
": 2,8 tỷ","51 m
2",3m,2 lầu,3 phòng ngủ,"Đường Đặng Đình Vân, Phường Thanh Khê Tây, Quận Thanh Khê,",chỗ để xe
": 3,45 tỷ","90 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lê Duẩn, Phường Tân Chính, Quận Thanh Khê,",chỗ để xe
": 3,1 tỷ","72 m
2",3m,2 lầu,3 phòng ngủ,"Đường Hải Phòng, Phường Thạch Thang, Quận Hải Châu,",chỗ để xe
": 6,3 tỷ","120 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Hồ Nghinh, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 3,05 tỷ","75 m
2","4,5m",1 lầu,2 phòng ngủ,"Đường Nguyễn Tất Thành, Phường Xuân Hà, Quận Thanh Khê,",chỗ để xe
": 3,69 tỷ","65 m
2",3m,3 lầu,4 phòng ngủ,"Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê,",chỗ để xe
": 2,6 tỷ","75 m
2","3,5m",2 lầu,4 phòng ngủ,"Đường Lê Tấn Trung., Phường Thọ Quang, Quận Sơn Trà,",chỗ để xe
": 3,1 tỷ","50 m
2",4m,3 lầu,3 phòng ngủ,"Đường Nguyễn Đình Tựu, Phường An Khê, Quận Thanh Khê,",chỗ để xe
": 3,1 tỷ","50 m
2",4m,3 lầu,3 phòng ngủ,"Đường Phạm Nhữ Tăng, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
": 5,35 tỷ","122 m
2",4m,3 lầu,4 phòng ngủ,"Đường Chính Hữu, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 2,85 tỷ","105 m
2",4m,1 lầu,2 phòng ngủ,"Đường Lê Tấn Trung., Phường Thọ Quang, Quận Sơn Trà,",chỗ để xe
": 5,8 tỷ","115 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Phan Bá Phiến, Phường Thọ Quang, Quận Sơn Trà,",chỗ để xe
": 2,85 tỷ","45 m
2",3m,3 lầu,3 phòng ngủ,"Đường Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
