price,area,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
"3,8 tỷ","50 m
2",14692226,Đông,,Cần bán,7m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,2,,,2,
"9,7 tỷ","100 m
2",15177465,_,1.0,Cần bán,6m,1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,"4,5m",2,1.0,22m,3,
24 tỷ,"128 m
2",15094880,_,1.0,Cần bán,"7,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,14m,3,1.0,,3,
"25,5 tỷ","165 m
2",15171957,_,,Cần bán,"7,5m",,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,9m,1,,"18,3m",1,
24 tỷ,"320 m
2",14664928,Đông,,Cần bán,30m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,5,,,14,
28 tỷ,"165 m
2",15169776,_,,Cần bán,"7,5m",,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,9m,1,,"18,3m",1,
"6,05 tỷ","100 m
2",14252050,_,,Cần bán,"7,5m",,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,5m,2,,,3,
24 tỷ,"147 m
2",14948941,_,,Cần bán,15m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"6,5m",3,,,3,
"5,6 tỷ","90 m
2",14728844,_,1.0,Cần bán,"7,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,3,1.0,,4,
"20,5 tỷ","170 m
2",15172537,_,,Cần bán,15m,,Nhà mặt tiền,,,10m,1,,,1,
"8,9 tỷ","97 m
2",15123982,_,1.0,Cần bán,,1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,3,1.0,,4,1.0
6 tỷ,"86 m
2",15171148,Đông Nam,1.0,Cần bán,"7,5m",1.0,Nhà mặt tiền,Giấy tờ hợp lệ,1.0,14mm,3,1.0,,3,
"35,5 tỷ","140 m
2",14785043,_,,Cần bán,30m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,3,,,10,
"10,5 tỷ","125 m
2",15166691,_,,Cần bán,"7,5m",,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,5m,,,,,
"8,3 tỷ","95 m
2",15157224,_,,Cần bán,"7,5m",,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,5m,5,,19m,11,
"5,3 tỷ","96 m
2",15109893,Tây Nam,1.0,Cần bán,5m,1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,"5,3m",3,1.0,"19,8m",4,
14 ngàn,"115 m
2",15180324,_,1.0,Cần bán,"5,5m",1.0,Nhà mặt tiền,,1.0,5m,5,1.0,23m,8,
7 tỷ,"80 m
2",15160636,_,,Cần bán,7m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,8m,1,,10m,3,
"10,5 tỷ","70 m
2",14811935,_,,Cần bán,5m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,5m,3,,14m,3,
6 tỷ,"80 m
2",15176018,_,,Cần bán,6m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"4,6m",1,1.0,17m,1,
6 tỷ,"80 m
2",15176018,_,,Cần bán,6m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"4,6m",1,1.0,17m,1,
"1,379 tỷ","60 m
2",14954635,Tây,1.0,Cần bán,3m,1.0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1.0,5m,1,1.0,12m,1,
"4,25 tỷ","100 m
2",15013967,Đông Nam,1.0,Cần bán,5m,1.0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1.0,5m,2,1.0,20m,3,
"5,9 tỷ","65 m
2",15172478,_,1.0,Cần bán,"5,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,4m,2,1.0,,2,
"7,5 tỷ","113 m
2",15179714,Đông Bắc,,Cần bán,7m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,5m,3,,22m,3,
"4,5 tỷ","100 m
2",15178638,_,1.0,Cần bán,"7,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,3,1.0,20m,4,
"2,75 tỷ","51 m
2",15172240,Bắc,1.0,Cần bán,"2,5m",1.0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1.0,"4,1m",4,,"12,3m",3,
"7,6 tỷ","115 m
2",15179430,_,1.0,Cần bán,"5,5m",1.0,Nhà mặt tiền,,1.0,5m,5,1.0,23m,8,
"5,55 tỷ","90 m
2",14813625,_,1.0,Cần bán,"7,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,3,1.0,,3,
"15,3 tỷ","260 m
2",14904706,Đông,1.0,Cần bán,27m,1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,6m,3,1.0,18m,3,
"7,95 tỷ","126 m
2",15035192,_,1.0,Cần bán,"10,m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,2,1.0,25m,3,
