price,area,road_width,floors,bedroom,loc,garage
": 3,8 tỷ","50 m
2",7m,2 lầu,2 phòng ngủ,"Đường Trần Hưng Đạo, Phường Nại Hiên Đông, Quận Sơn Trà,",0
": 9,7 tỷ","100 m
2",6m,2 lầu,3 phòng ngủ,"Đường Trần Tống, Phường Thạc Gián, Quận Thanh Khê,",0
: 24 tỷ,"128 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Dương Đình Nghệ, Phường An Hải Bắc, Quận Sơn Trà,",0
": 25,5 tỷ","165 m
2","7,5m",1 lầu,1 phòng ngủ,"Đường Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
: 24 tỷ,"320 m
2",30m,5 lầu,14 phòng ngủ,"Đường Trần Hưng Đạo, Phường Nại Hiên Đông, Quận Sơn Trà,",0
: 28 tỷ,"165 m
2","7,5m",1 lầu,1 phòng ngủ,"Đường Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 6,05 tỷ","100 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Giang Châu 1, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
: 24 tỷ,"147 m
2",15m,3 lầu,3 phòng ngủ,"Đường Đống Đa, Phường Thuận Phước, Quận Hải Châu,",0
": 5,6 tỷ","90 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Lê Đại Hành, Phường Khuê Trung, Quận Cẩm Lệ,",0
": 20,5 tỷ","170 m
2",15m,1 lầu,1 phòng ngủ,"Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà,",0
": 8,9 tỷ","97 m
2",,3 lầu,4 phòng ngủ,"Đường Lý Thái Tông, Phường Thanh Khê Tây, Quận Thanh Khê,",0
: 6 tỷ,"86 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Phó Đức Chính, Phường An Hải Bắc, Quận Sơn Trà,",0
": 35,5 tỷ","140 m
2",30m,3 lầu,10 phòng ngủ,"Đường Võ Nguyên Giáp, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 10,5 tỷ","125 m
2","7,5m",,,"Đường Đặng Vũ Hỷ, Phường An Hải Đông, Quận Sơn Trà,",0
": 8,3 tỷ","95 m
2","7,5m",5 lầu,11 phòng ngủ,"Đường Trịnh Lỗi, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
": 5,3 tỷ","96 m
2",5m,3 lầu,4 phòng ngủ,"Đường Phan Bá Phiến, Phường Thọ Quang, Quận Sơn Trà,",0
": 4,65 tỷ","63 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Phan Bôi, Phường An Hải Đông, Quận Sơn Trà,",0
": 6,5 tỷ","41 m
2",33m,3 lầu,3 phòng ngủ,"Đường 3/2, Phường Thuận Phước, Quận Hải Châu,",0
": 2,75 tỷ","51 m
2","2,5m",4 lầu,3 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu,",0
": 4,5 tỷ","100 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Nguyễn Như Hạnh, Phường Hòa Minh, Quận Liên Chiểu,",0
": 15,5 tỷ","90 m
2",10m,5 lầu,5 phòng ngủ,"Đường Dương Tự Minh, Phường Phước Mỹ, Quận Sơn Trà,",0
": 13,7 tỷ","80 m
2",10m,4 lầu,4 phòng ngủ,"Đường Trịnh Công Sơn, Phường Hòa Cường Bắc, Quận Hải Châu,",0
": 11,5 tỷ","156 m
2","7,5m",4 lầu,6 phòng ngủ,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,",0
